name,v,f,t,mtt24,mtt48
t275,14.5,11.41,4514.129484,440.7725322,19.95548961
t277,15,11.41,4460.390826,294.4206009,15.83827893
t279,15.5,11.42,4498.561152,209.4420601,13.70548961
t281,16,11.42,4441.516162,277.2532189,19.88130564
t283,16.5,11.42,4389.585039,256.223176,14.9851632
t299,10.7,14.56,6475.971297,96.12015019,453.3834586
t301,11,14.56,6389.852397,194.2428035,435.0877193
t303,11.2,14.56,5991.692297,129.9123905,392.7318296
t305,11.5,14.56,5249.558824,202.5031289,474.6867168
t307,11.7,14.56,4705.115561,151.689612,347.8696742
t309,12,14.57,5266.17942,141.6770964,451.1278195
t311,12.2,14.57,5009.880228,116.7709637,473.1829574
t313,12.5,14.58,4939.030509,162.077597,362.9072682
t315,13,14.58,4842.928778,108.0100125,475.6892231
t317,13.2,14.54,3944.37381,120.7831325,102.0674646
t319,13.5,14.55,4342.047339,112.8012048,31.6648531
t321,13.7,14.56,4259.883377,172.439759,122.4156692
t323,14,14.56,4252.896189,125.3012048,39.71708379
t325,14.3,14.56,4270.438448,218.2228916,188.6833515
t327,14.5,14.57,4339.752914,193.0722892,93.0359086
t329,14.7,14.57,4360.545192,195.9337349,235.5821545
t331,15,14.58,4387.487906,235.8433735,105.1142546
t333,15.2,14.58,4647.854588,201.5060241,222.3068553
t335,15.5,14.59,4371.448755,231.1746988,165.8324266
t337,15.7,14.59,4405.141576,185.3915663,306.7464635
t339,16,14.59,4523.457191,150.9036145,263.1120783
t341,16.2,14.6,4812.006185,290.3614458,252.3394995
t343,16.5,14.6,4761.287269,241.7168675,240.2611534
t345,16.7,14.6,4566.28666,405.7228916,220.4570185
t347,17,14.6,4814.485516,263.5542169,263.4385201
t349,10,15.13,4897.468072,103.014553,79.90936556
t353,10.5,15.16,4825.855812,139.6049896,155.2870091
t355,10.8,15.17,4419.543079,75.77962578,57.09969789
t357,11.2,15.18,4300.838589,127.962578,194.1087613
t359,11.4,15.18,4612.073234,93.97089397,141.2386707
t361,11.6,15.19,4367.833062,147.0893971,257.2507553
t363,11.8,15.19,4301.950795,90.02079002,85.64954683
t365,12.4,15.2,4516.739801,163.3056133,201.0574018
t367,12.6,15.2,4627.500696,107.6923077,95.16616314
t369,12.8,15.2,4880.526494,198.7525988,190.4833837
t371,13.2,15.21,5057.582648,96.15384615,205.5891239
t373,13.4,15.21,4633.262639,201.8711019,408.0060423
t375,13.6,15.21,5074.178143,134.6153846,355.5891239
t377,13.8,15.21,5117.750473,174.8440748,458.0060423
t379,14.2,15.21,4318.292044,87.42203742,262.6888218
t381,14.4,15.24,3778.150055,131.6831683,83.88773389
t383,14.6,15.26,3754.958125,52.14521452,26.1954262
t385,14.8,15.28,3752.597532,99.889989,109.043659
t387,15.2,15.29,3801.624905,116.7216722,60.4989605
t389,15.4,15.29,3807.737232,124.0924092,156.4449064
t391,15.8,15.3,3930.483411,132.8932893,109.5634096
t393,15.6,15.29,3836.273854,94.60946095,161.4345114
t395,16.2,15.3,3996.885925,165.1265127,208.6278586
t397,16.4,15.31,4065.290209,105.9405941,172.037422
t399,16.6,15.31,3643.150478,93.61936194,98.85654886
t401,16.8,15.31,3924.570078,103.630363,151.3513514
t403,17.2,15.32,3916.134177,115.8415842,202.1829522
t405,17.4,15.33,3726.035147,119.8019802,145.8419958
t407,17.6,15.33,3783.425806,172.7172717,263.2016632
t409,17.8,15.33,3876.499869,128.7128713,66.52806653
t411,18.2,15.33,3835.971066,136.6336634,67.35966736
t413,18.4,15.4,3931.525797,229.0468986,386.24052
t415,18.6,15.43,3943.236691,215.128593,412.1343445
t417,18.8,15.46,3926.431379,216.6414523,360.9967497
t419,19.2,15.47,4117.648543,208.774584,307.6923077
t421,19.4,15.47,3819.383447,254.6142209,258.7215601
t423,11,16.33,-14559.55154,162.4810893,194.5828819
t431,12.5,16.37,5634.206989,227.6853253,108.0173348
t433,13,16.37,7547.431545,254.311649,256.9880823
t435,13.2,16.37,5948.040863,224.5083207,135.4279523
t437,13.8,16.38,5154.378857,143.419062,180.823402
t439,14.2,16.38,5726.052909,176.8532526,91.00758397
t441,14.8,16.38,6225.188197,156.2783661,93.1744312
t443,15.2,16.38,6446.305954,159.3040847,87.86565547
t445,15.4,16.39,4810.607623,89.28571429,51.34177215
t447,15.8,16.4,4016.764398,75.6302521,71.5443038
t449,16.2,16.4,4388.826576,101.4705882,83.59493671
t451,16.8,16.41,4144.893078,76.2605042,92.60759494
t453,17.2,16.41,4212.525548,88.1302521,72.60759494
t455,17.7,16.41,4046.700339,74.3697479,73.01265823
t457,18.2,16.41,4533.118427,117.1218487,107.2405063
t459,18.7,16.42,4174.457347,75,66.63291139
t461,19.2,16.42,4042.121895,124.6848739,57.01265823
t463,19.4,16.42,4149.001945,71.53361345,52.81012658
t465,19.5,16.43,3861.132181,96.63865546,64.20253165
t467,19.8,16.43,4294.094052,51.15546218,41.92405063
t469,20,16.43,4134.693166,85.18907563,73.01265823
t473,12.3,17.4,4900.48966,143.0672269,62.37974684
t475,12.8,17.4,6241.539362,52.10084034,30.83544304
t477,13.2,17.47,4142.477102,130.1687764,130.4392237
t479,13.4,17.48,4278.723872,188.185654,157.2012257
t481,13.8,17.48,4978.315217,111.3924051,83.65679265
t483,14.2,17.49,4516.563058,150.6329114,97.24208376
t485,14.8,17.49,4568.968292,169.6202532,96.11848825
t487,15.2,17.49,4649.369215,108.4388186,73.03370787
t489,15.8,17.49,4675.009497,191.7721519,100.8171604
t491,16.2,17.5,4639.068932,190.5063291,78.14096016
t493,16.8,17.5,4216.231283,226.371308,118.8968335
t495,17.3,17.5,4805.614315,229.535865,144.3309499
t497,17.8,17.5,4531.781806,258.8607595,146.7824311
t499,18.2,17.5,4449.756848,180.8016878,81.71603677
t501,18.8,17.5,4247.681513,143.4599156,112.3595506
t503,19.2,17.51,4315.863988,211.6033755,175.7916241
t505,19.5,17.51,4446.609339,222.7848101,106.639428
t507,20,17.51,4381.069888,207.3839662,793.8712972
t511,11.8,18.06,12383.17055,59.18367347,49.46043165
t513,12.2,18.06,7155.180259,77.17996289,117.4460432
t515,12.8,18.07,5794.912158,63.91465677,85.34172662
t517,13.2,18.07,5068.586123,58.44155844,121.6726619
t519,13.8,18.07,4784.77879,46.47495362,86.96043165
t521,14.2,18.09,4778.323299,73.19109462,107.6438849
t523,14.8,18.09,4933.595097,48.7012987,101.9784173
t525,15.2,18.09,4569.508277,60.11131725,119.5143885
t527,15.8,18.09,4610.870586,51.94805195,111.6906475
t529,16.2,18.1,4413.118793,61.68831169,73.92086331
t531,16.8,18.1,4431.028714,60.57513915,83.9028777
t533,17.2,18.1,4313.160021,72.35621521,76.16906475
t535,17.8,18.1,4557.295936,75.97402597,59.89208633
t537,18.2,18.1,4468.132309,74.5825603,68.79496403
t539,18.8,18.1,4408.29956,77.17996289,84.62230216
t541,11.8,19.09,6385.614865,91.96840026,160.6730769
t543,12.2,19.09,5894.000827,88.54509546,82.98076923
t545,12.8,19.1,5203.228892,74.32521396,131.8269231
t547,13.2,19.11,5111.780604,57.14285714,98.07692308
t549,13.8,19.11,4947.201391,74.19354839,123.1730769
t551,14.2,19.13,4727.428413,61.15865701,121.9230769
t553,14.8,19.13,4516.374335,72.02106649,85.19230769
t555,15.2,19.14,4862.725159,76.56352864,89.13461538
t557,15.8,19.14,4625.060171,83.47597103,88.26923077
t559,16.2,19.15,4373.626923,99.80250165,84.42307692
t561,16.8,19.15,4648.865376,93.74588545,129.5192308
t563,17.2,19.15,4488.132362,74.52271231,88.17307692
t565,17.8,19.15,4256.670866,91.77090191,97.59615385
t567,18,19.15,4550.934047,79.52600395,105.4807692
t569,18.5,19.16,4612.488289,62.40947992,93.84615385
t571,19,19.16,4633.084148,54.80579329,66.44230769
t573,13,20.4,4901.601912,87.1007371,62.89017341
t575,13.2,20.4,5201.209328,81.44963145,48.20809249
t577,14.2,20.41,5071.085779,142.8746929,118.6127168
t579,14.8,20.42,4759.827572,135.5036855,100.9248555
t581,15.2,20.42,4631.397698,160.1965602,208.6705202
t583,15.8,20.43,4706.495194,149.6314496,131.5606936
t585,16.2,20.43,4803.870129,159.0909091,221.849711
t587,16.8,20.44,4229.985492,130.8353808,160.5780347
t589,17.2,20.44,4516.607501,153.8083538,206.1271676
t591,17.8,20.44,4731.275731,150,170.0578035
t593,18.2,20.44,4592.196702,178.1326781,196.9942197
t595,18.8,20.44,4500.882691,164.987715,194.6820809
t597,19.2,20.45,4426.322169,140.4176904,157.8034682
t599,19.8,20.45,4620.189752,133.9066339,277.5722543
t601,20.2,20.45,4597.296578,109.5823096,234.6820809
t603,20.8,20.45,4557.839458,114.6191646,331.7919075
t637,14,12.13,4687.844155,98.63829787,98.1492192
t639,14.2,12.14,4604.946258,117.4468085,60.20821284
t641,14.5,12.15,4610.772131,72.34042553,103.2388664
t643,14.8,12.16,4661.625645,71.91489362,72.93233083
t645,15,12.16,4593.940395,76.42553191,86.52400231
t647,15.2,12.17,4806.786452,60.42553191,108.0393291
t649,15.5,12.17,4674.817153,87.82978723,113.2446501
t651,15.8,12.17,4814.984353,74.12765957,109.7165992
t653,16,12.18,4585.22371,83.31914894,136.8999422
t655,16.2,12.18,4643.245432,96.85106383,110.5263158
t657,16.5,12.18,3990.330602,69.0212766,111.5095431
t659,16.8,12.18,4035.917694,91.23404255,82.01272412
t661,17,12.18,4318.833944,93.27659574,76.05552342
t663,17.2,12.19,4264.706519,102.212766,89.18449971
t665,17.5,12.19,4381.843698,101.6170213,77.03875072
t667,17.8,12.19,4118.735383,104.5957447,73.85772123
t669,18,15.2,4007.182427,149.2366412,104.9656226
t671,19,16.43,4063.566903,123.3778626,135.6760886
t673,19,17.43,4067.101702,118.7977099,131.6271963
t675,18.5,18.1,4139.533693,110.019084,150.3437739
t677,17.5,19.1,4245.864798,131.6793893,116.1191749
t679,13.7,20.43,5627.958771,85.49618321,92.58976318
t681,13,14.58,4703.605485,111.1641221,124.9809015
t683,17,14.6,4474.275995,92.46183206,116.2719633
t685,14.2,15.22,4818.038717,107.2519084,156.9900688
t687,18.2,15.23,4538.698385,108.4923664,118.6401833
t689,15.2,16.28,4815.543006,114.2175573,204.9656226
t691,12.8,17.4,5521.708681,91.88931298,178.8388083
t693,20,17.51,4560.783499,105.7251908,222.841864
t695,18.8,18.11,4565.04984,96.08778626,228.1130634
t697,19,19.16,5024.96791,79.48473282,187.8533231
t699,20.8,20.15,4917.636688,97.61450382,150.1145913
